From	To
P31946	YWHAB
P62258	YWHAE
Q04917	YWHAH
P61981	YWHAG
P31947	SFN
P27348	YWHAQ
P63104	YWHAZ
P04439	HLA-A
Q14738	PPP2R5D
P30153	PPP2R1A
P30154	PPP2R1B
P63151	PPP2R2A
Q66LE6	PPP2R2D
P11171	EPB41
Q13542	EIF4EBP2
P08195	SLC3A2
P49902	NT5C2
P52209	PGD
O95336	PGLS
P36639	NUDT1
Q8IZ83	ALDH16A1
Q15758	SLC1A5
Q2M2I8	AAK1
P54619	PRKAG1
Q13685	AAMP
Q13131	PRKAA1
Q9Y312	AAR2
Q9BTE6	AARSD1
P00505	GOT2
Q7Z5R6	APBB1IP
O75027	ABCB7
Q9NRK6	ABCB10
P28288	ABCD3
P61221	ABCE1
Q8NE71	ABCF1
Q9UG63	ABCF2
Q8WU67	ABHD3
Q9NUJ1	ABHD10
Q96IU4	ABHD14B
Q8IZP0	ABI1
Q9NYB9	ABI2
O14639	ABLIM1
Q9P1F3	ABRACL
Q15018	ABRAXAS2
Q13085	ACACA
Q9H845	ACAD9
P11310	ACADM
P49748	ACADVL
Q15027	ACAP1
Q15057	ACAP2
Q96P50	ACAP3
Q8N6N7	ACBD7
P07108	DBI
O96019	ACTL6A
P53396	ACLY
O00767	SCD
Q99798	ACO2
O14734	ACOT8
Q15067	ACOX1
P13798	APEH
O14561	NDUFAB1
Q4G176	ACSF3
O95573	ACSL3
P60709	ACTB
Q562R1	ACTBL2
P63261	ACTG1
P12814	ACTN1
O43707	ACTN4
P42025	ACTR1B
P61163	ACTR1A
P00813	ADA
O14672	ADAM10
O00116	AGPS
P35611	ADD1
Q9UEY8	ADD3
P11766	ADH5
Q9H2P0	ADNP
Q9NRN7	AASDHPPT
Q16186	ADRM1
P12235	SLC25A4
P05141	SLC25A5
P12236	SLC25A6
Q08117	TLE5
Q13015	MLLT11
Q9Y4W6	AFG3L2
Q6ULP2	AFTPH
Q53H12	AGK
Q9UKV8	AGO2
Q09666	AHNAK
O95433	AHSA1
Q9BQI0	AIF1L
O95831	AIFM1
Q12904	AIMP1
Q13155	AIMP2
O00170	AIP
P14550	AKR1A1
Q9UKA4	AKAP11
Q9Y2D5	PALM2AKAP2
O43823	AKAP8
Q9ULX6	AKAP8L
P31749	AKT1
P31751	AKT2
P49189	ALDH9A1
P04075	ALDOA
P09972	ALDOC
P15121	AKR1B1
Q9BT22	ALG1
Q6P6C2	ALKBH5
Q9UKV5	AMFR
Q8IY45	AMN1
Q01433	AMPD2
P28838	LAP3
Q9C0C7	AMBRA1
P30533	LRPAP1
P39687	ANP32A
Q92688	ANP32B
Q9BTT0	ANP32E
Q9UJX6	ANAPC2
Q9P2R3	ANKFY1
Q01484	ANK2
Q8IWZ3	ANKHD1
Q96BM1	ANKRD9
Q99873	PRMT1
O14744	PRMT5
O75179	ANKRD17
O15084	ANKRD28
Q53RE8	ANKRD39
Q8N8A2	ANKRD44
A6NC57	ANKRD62
P50995	ANXA11
P04083	ANXA1
P07355	ANXA2
P08758	ANXA5
P08133	ANXA6
P20073	ANXA7
O43747	AP1G1
Q9BXS5	AP1M1
O95782	AP2A1
O94973	AP2A2
P63010	AP2B1
Q96CW1	AP2M1
P53680	AP2S1
O00203	AP3B1
Q13367	AP3B2
Q9Y2T2	AP3M1
Q92572	AP3S1
Q92624	APPBP2
Q9H1A4	ANAPC1
Q9UM13	ANAPC10
Q9NYG5	ANAPC11
Q96DE5	ANAPC16
Q9UJX5	ANAPC4
Q9UJX4	ANAPC5
Q9UJX3	ANAPC7
P27695	APEX1
Q9BZZ5	API5
Q9HDC9	APMAP
Q9BQE5	APOL2
P07741	APRT
O60306	AQR
P25098	GRK2
O15143	ARPC1B
P18085	ARF4
P84085	ARF5
Q8N6T3	ARFGAP1
Q9NP61	ARFGAP3
Q9NWB6	ARGLU1
Q92888	ARHGEF1
Q92974	ARHGEF2
Q15052	ARHGEF6
Q14155	ARHGEF7
Q6ZSZ5	ARHGEF18
Q9Y4X5	ARIH1
O14497	ARID1A
Q8NFD5	ARID1B
O95376	ARIH2
Q4LE39	ARID4B
Q14865	ARID5B
Q68CP9	ARID2
O43488	AKR7A2
P40616	ARL1
Q8IUR7	ARMC8
Q86WX3	RPS19BP1
Q9NZ32	ACTR10
P56211	ARPP19
P61160	ACTR2
P61158	ACTR3
Q9GZN1	ACTR6
O15144	ARPC2
O15145	ARPC3
P59998	ARPC4
O15511	ARPC5
P32121	ARRB2
Q9Y576	ASB1
Q8WXK3	ASB13
Q9Y575	ASB3
Q9NWX5	ASB6
Q9H672	ASB7
Q9H765	ASB8
Q96DX5	ASB9
Q8N3C0	ASCC3
Q7RTU5	ASCL5
Q9Y294	ASF1A
Q9NVP2	ASF1B
O43681	GET3
Q9BZE9	ASPSCR1
P05023	ATP1A1
P54709	ATP1B3
P16615	ATP2A2
Q93084	ATP2A3
