PreyGene,UniprotId
vifprotein,P69723
RBX2_HUMAN,Q9UBF6
BC11B_HUMAN,Q9C0K0
CUL5_HUMAN,Q93034
DCA11_HUMAN,Q8TEB1
ELOB_HUMAN,Q15370
ELOC_HUMAN,Q15369
PEBB_HUMAN,Q13951
RUNX2_HUMAN,Q13950
RUNX3_HUMAN,Q13761
CUL2_HUMAN,Q13617
RUNX1_HUMAN,Q01196
PDC6I_HUMAN,Q8WUM4
AMRA1_HUMAN,Q9C0C7
EMD_HUMAN,P50402
ZBTB1_HUMAN,Q9Y2K1
PML_HUMAN,P29590
RFA1_HUMAN,P27694
BAF_HUMAN,O75531
SC16A_HUMAN,O15027
HAX1_HUMAN,O00165
NEDD8_HUMAN,Q15843
AKP8L_HUMAN,Q9ULX6
HNRPM_HUMAN,P52272
ERAP1_HUMAN,Q9NZ08
TCF7_HUMAN,P36402
HTF4_HUMAN,Q99081
ANXA1_HUMAN,P04083
NCOR1_HUMAN,O75376
BAG3_HUMAN,O95817
ARI1_HUMAN,Q9Y4X5
ETS1_HUMAN,P14921
HPBP1_HUMAN,Q9NZL4
TBA4A_HUMAN,P68366
HMCS1_HUMAN,Q01581
THIC_HUMAN,Q9BWD1
CD3G_HUMAN,P09693
ZN384_HUMAN,Q8TF68
NFKB1_HUMAN,P19838
NUP93_HUMAN,Q8N1F7
RIR2_HUMAN,P31350
TXTP_HUMAN,P53007
BACH_HUMAN,O00154
SIN3A_HUMAN,Q96ST3
PTSS1_HUMAN,P48651
ACTN4_HUMAN,O43707
ARC1B_HUMAN,O15143
NHRF1_HUMAN,O14745
M2OM_HUMAN,Q02978
HDAC3_HUMAN,O15379
6PGD_HUMAN,P52209
FKBP8_HUMAN,Q14318
AKT1_HUMAN,P31749
AES_HUMAN,Q08117
RBM14_HUMAN,Q96PK6
CKAP4_HUMAN,Q07065
SYSC_HUMAN,P49591
NU214_HUMAN,P35658
TPSN_HUMAN,O15533
YTHD2_HUMAN,Q9Y5A9
ZAP70_HUMAN,P43403
ANXA6_HUMAN,P08133
TAF4_HUMAN,O00268
polpolyprotein,Q2A7R5
TMM33_HUMAN,P57088
IF1AY_HUMAN,O14602
MKRN2_HUMAN,Q9H000
URP2_HUMAN,Q86UX7
CPT1A_HUMAN,P50416
FUMH_HUMAN,P07954
CLIC1_HUMAN,O00299
P85A_HUMAN,P27986
ADHX_HUMAN,P11766
VATH_HUMAN,Q9UI12
SEP11_HUMAN,Q9NVA2
SAC1_HUMAN,Q9NTJ5
SH3L3_HUMAN,Q9H299
HINT2_HUMAN,Q9BX68
MSI2H_HUMAN,Q96DH6
USP9X_HUMAN,Q93008
ANKH1_HUMAN,Q8IWZ3
TPPC5_HUMAN,Q8IUR0
RB6I2_HUMAN,Q8IUD2
KCC4_HUMAN,Q16566
LMAN2_HUMAN,Q12907
GOGA2_HUMAN,Q08379
FLI1_HUMAN,Q01543
ETFB_HUMAN,P38117
RFA3_HUMAN,P35244
RFA2_HUMAN,P15927
KIF4A_HUMAN,O95239
CDC45_HUMAN,O75419
TCRG1_HUMAN,O14776
CTRO_HUMAN,O14578
MTCH2_HUMAN,Q9Y6C9
GLU2B_HUMAN,P14314
ARPC2_HUMAN,O15144
CNN2_HUMAN,Q99439
F162A_HUMAN,Q96A26
TOIP1_HUMAN,Q5JTV8
DHC24_HUMAN,Q15392
FLOT1_HUMAN,O75955
RN213_HUMAN,Q63HN8
PP2AA_HUMAN,P67775
CISY_HUMAN,O75390
FUBP1_HUMAN,Q96AE4
LONM_HUMAN,P36776
FMNL1_HUMAN,O95466
F207A_HUMAN,Q9NSI2
DJB14_HUMAN,Q8TBM8
HUWE1_HUMAN,Q7Z6Z7
CUL4A_HUMAN,Q13619
SRSF2_HUMAN,Q01130
RBX1_HUMAN,P62877
IF5_HUMAN,P55010
ITAL_HUMAN,P20701
CATA_HUMAN,P04040
EXOC5_HUMAN,O00471
DIC_HUMAN,Q9UBX3
CLN6_HUMAN,Q9NWW5
MAIP1_HUMAN,Q8WWC4
GDIR1_HUMAN,P52565
CAN1_HUMAN,P07384
TYSY_HUMAN,P04818
ZZEF1_HUMAN,O43149
CSN7B_HUMAN,Q9H9Q2
TBCB_HUMAN,Q99426
VP33A_HUMAN,Q96AX1
BAG6_HUMAN,P46379
STIP1_HUMAN,P31948
PSB9_HUMAN,P28065
PSB8_HUMAN,P28062
C1TC_HUMAN,P11586
FYB_HUMAN,O15117
TLN1_HUMAN,Q9Y490
NOSIP_HUMAN,Q9Y314
LEF1_HUMAN,Q9UJU2
FKBP4_HUMAN,Q02790
GLYM_HUMAN,P34897
PEBP1_HUMAN,P30086
COX41_HUMAN,P13073
CLP1L_HUMAN,Q96KA5
HCDH_HUMAN,Q16836
TADBP_HUMAN,Q13148
LDHA_HUMAN,P00338
SORT_HUMAN,Q99523
STMN2_HUMAN,Q93045
TRXR1_HUMAN,Q16881
LGUL_HUMAN,Q04760
CDK5_HUMAN,Q00535
ASNA_HUMAN,O43681
NDUA4_HUMAN,O00483
SND1_HUMAN,Q7KZF4
PP6R3_HUMAN,Q5H9R7
MA7D1_HUMAN,Q3KQU3
ABRX2_HUMAN,Q15018
VEZF1_HUMAN,Q14119
STIM1_HUMAN,Q13586
TLE3_HUMAN,Q04726
B2MG_HUMAN,P61769
OCAD2_HUMAN,Q56VL3
ARPC4_HUMAN,P59998
NDKA_HUMAN,P15531
ISG15_HUMAN,P05161
ADA_HUMAN,P00813
PNMA2_HUMAN,Q9UL42
RENT1_HUMAN,Q92900
SCPDL_HUMAN,Q8NBX0
TPM4_HUMAN,P67936
SRP54_HUMAN,P61011
PUR9_HUMAN,P31939
EZRI_HUMAN,P15311
PNPH_HUMAN,P00491
LETM1_HUMAN,O95202
EXOC3_HUMAN,O60645
NEMO_HUMAN,Q9Y6K9
DHCR7_HUMAN,Q9UBM7
PFD4_HUMAN,Q9NQP4
VAT1_HUMAN,Q99536
REPS1_HUMAN,Q96D71
RABE1_HUMAN,Q15276
NNTM_HUMAN,Q13423
SC61B_HUMAN,P60468
RAB5C_HUMAN,P51148
SC31A_HUMAN,O94979
AKAP8_HUMAN,O43823
SRPRB_HUMAN,Q9Y5M8
IKZF2_HUMAN,Q9UKS7
RCOR1_HUMAN,Q9UKL0
EI2BA_HUMAN,Q14232
CSN1_HUMAN,Q13098
ARP3_HUMAN,P61158
RAB7A_HUMAN,P51149
TALDO_HUMAN,P37837
PGAM1_HUMAN,P18669
MIF_HUMAN,P14174
IPO7_HUMAN,O95373
EP15R_HUMAN,Q9UBC2
MOV10_HUMAN,Q9HCE1
TBB2A_HUMAN,Q13885
G6PI_HUMAN,P06744
DIAP2_HUMAN,O60879
ATIF1_HUMAN,Q9UII2
OCAD1_HUMAN,Q9NX40
RAB1B_HUMAN,Q9H0U4
RASL3_HUMAN,Q86YV0
CUL4B_HUMAN,Q13620
CXCR4_HUMAN,P61073
UBP11_HUMAN,P51784
SDHB_HUMAN,P21912
PTN1_HUMAN,P18031
ALDOC_HUMAN,P09972
TPPC3_HUMAN,O43617
nefprotein,P18801
tatprotein,P0C1K3
TMED7_HUMAN,Q9Y3B3
EXOC7_HUMAN,Q9UPT5
CPVL_HUMAN,Q9H3G5
GBF1_HUMAN,Q92538
MARE1_HUMAN,Q15691
SP3_HUMAN,Q02447
CH10_HUMAN,P61604
MAX_HUMAN,P61244
IF4A1_HUMAN,P60842
DHB4_HUMAN,P51659
MDHM_HUMAN,P40926
TKT_HUMAN,P29401
OAT_HUMAN,P04181
CYB5B_HUMAN,O43169
CSN3_HUMAN,Q9UNS2
FA49B_HUMAN,Q9NUQ9
ACAD9_HUMAN,Q9H845
FKBP3_HUMAN,Q00688
